Input Size,Average Time (nanoseconds)
7300,786175
7310,798165
7320,790050
7330,795345
7340,785430
7350,823130
7360,742920
7370,791975
7380,842335
7390,782960
7400,759810
7410,756530
7420,771055
7430,818135
7440,783870
7450,831530
7460,802050
7470,814670
7480,829815
7490,880280
7500,815560
7510,833985
7520,854040
7530,928035
7540,806690
7550,810885
7560,883865
7570,883925
7580,807905
7590,813530
7600,819780
7610,822590
7620,796795
7630,873245
7640,840580
7650,850060
7660,843230
7670,838995
7680,918705
7690,844185
7700,816485
7710,824415
7720,4094500
7730,776770
7740,802910
7750,778645
7760,839655
7770,844505
7780,816250
7790,870230
7800,831150
7810,818850
7820,870205
7830,850430
7840,931395
7850,869680
7860,801070
7870,841495
7880,850575
7890,867965
7900,851905
7910,894005
7920,868935
7930,940290
7940,873485
7950,864045
7960,870520
7970,886410
7980,872420
7990,857520
8000,897060
8010,856915
8020,846820
8030,833125
8040,904315
8050,885160
8060,960560
8070,830750
8080,825425
8090,864780
8100,920550
8110,913575
8120,849310
8130,870110
8140,921490
8150,910455
8160,877840
8170,909910
8180,828510
8190,884110
8200,927010
8210,995320
8220,859975
8230,912900
8240,1025635
8250,1163825
8260,1012650
8270,868875
8280,1208165
8290,1255285
8300,1057925
8310,1187875
8320,1276875
8330,1333385
8340,1204550
8350,997860
8360,1058815
8370,922880
8380,859870
8390,813715
8400,817820
8410,921490
8420,902285
8430,975620
8440,887150
8450,896730
8460,911180
8470,1016785
8480,924310
8490,933515
8500,962460
8510,989345
8520,952365
8530,1077450
8540,989480
8550,1014180
8560,898970
8570,890755
8580,902400
8590,949180
8600,1065040
8610,916760
8620,940235
8630,943215
8640,930155
8650,954215
8660,930610
8670,886535
8680,1024435
8690,928050
8700,1016085
8710,961580
8720,996155
8730,957870
8740,1047380
8750,949955
8760,913180
8770,992265
8780,992295
8790,943265
8800,1017315
8810,964710
8820,965380
8830,977435
8840,1063255
8850,952555
8860,993590
8870,1003700
8880,1045790
8890,1083320
8900,1011545
8910,1045185
8920,1113935
8930,4081920
8940,1941960
8950,926565
8960,1159340
8970,962065
8980,1110380
8990,882325
9000,914400
9010,895280
9020,935205
9030,925695
9040,1013560
9050,935630
9060,1008000
9070,1213845
9080,933770
9090,940035
9100,1011435
9110,977855
9120,1057240
9130,974885
9140,1081350
9150,978555
9160,1050970
9170,1067865
9180,938005
9190,994820
9200,953735
9210,1020620
9220,1011745
9230,1017865
9240,1031970
9250,1296165
9260,1404095
9270,1360800
9280,1044645
9290,988640
9300,1040130
9310,1014030
9320,1010940
9330,1025710
9340,979295
9350,993395
9360,960100
9370,976395
9380,1233615
9390,1422060
9400,1177030
9410,1384030
9420,1393365
9430,1243225
9440,992815
9450,1060235
9460,1112530
9470,958020
9480,987420
9490,949985
9500,961855
9510,1054305
9520,994170
9530,1001505
9540,945640
9550,1083290
9560,1034505
9570,1025895
9580,1086630
9590,1116080
9600,1238445
9610,1115090
9620,1020305
9630,1130890
9640,1049945
9650,1057375
9660,1113885
9670,1091770
9680,1150860
9690,1072455
9700,1091615
9710,1105240
9720,1068125
9730,1103085
9740,1058345
9750,1089760
9760,1056800
9770,1282355
9780,1361490
9790,1304770
9800,1333665
9810,1338335
9820,1327015
9830,1258440
9840,1134020
9850,1097410
9860,1130665
9870,1029170
9880,1177630
9890,1069795
9900,1107475
9910,1122620
9920,1073650
9930,1151950
9940,1139310
9950,1150270
9960,1083500
9970,1078335
9980,1075250
9990,1141910
10000,1033720
