Number of Items,Average Time (nanoseconds)
7330,4400860
7340,4735720
7350,4682970
7360,4771645
7370,4518930
7380,4287300
7390,4469285
7400,4485195
7410,5152900
7420,4591680
7430,5522520
7440,5530570
7450,4346490
7460,4300055
7470,4456635
7480,16804960
7490,4913540
7500,4299820
7510,4726095
7520,4609310
7530,4489230
7540,4491280
7550,4904355
7560,4673815
7570,4497670
7580,6918110
7590,4768170
7600,5203665
7610,4794700
7620,4666395
7630,4607245
7640,3311875
7650,4459940
7660,4950675
7670,4951345
7680,8657980
7690,4772420
7700,4928260
7710,4412865
7720,4054425
7730,5943995
7740,4798315
7750,4768055
7760,4662925
7770,4439390
7780,4526065
7790,4520100
7800,4758135
7810,4816085
7820,4771180
7830,4828250
7840,4935630
7850,5136950
7860,4829165
7870,4509915
7880,4758680
7890,4442045
7900,5001130
7910,4671370
7920,5212015
7930,5115385
7940,8290970
7950,5013550
7960,11895200
7970,17188150
7980,9078210
7990,4727280
8000,4781125
8010,4583640
8020,6045395
8030,8078040
8040,5456080
8050,5825880
8060,5363740
8070,6178920
8080,4920320
8090,15418235
8100,5012985
8110,5108270
8120,5008705
8130,5019635
8140,4955425
8150,4991785
8160,5075465
8170,5328720
8180,6202625
8190,4880545
8200,4652105
8210,4454145
8220,4390310
8230,4432900
8240,4527775
8250,4877675
8260,5102510
8270,4688920
8280,4479760
8290,5112970
8300,5018100
8310,5739950
8320,5181545
8330,4711335
8340,4350200
8350,5301140
8360,5124930
8370,4725635
8380,4546340
8390,4565820
8400,2639595
8410,2526410
8420,2633930
8430,2524780
8440,2624795
8450,2571155
8460,3052850
8470,3006875
8480,3055275
8490,2808540
8500,3039850
8510,2079255
8520,2075845
8530,2156470
8540,2139565
8550,2263235
8560,2242505
8570,2243290
8580,2249090
8590,2260750
8600,2241055
8610,2227320
8620,2324805
8630,2297575
8640,2359030
8650,2264520
8660,2284640
8670,2250540
8680,2278705
8690,2281135
8700,2331345
8710,2287465
8720,2320605
8730,2373210
8740,2366490
8750,2373330
8760,2387670
8770,2326915
8780,2354700
8790,2340895
8800,2465225
8810,2327200
8820,2656645
8830,2319765
8840,2391325
8850,2375515
8860,2293730
8870,2471455
8880,2377560
8890,2351325
8900,2317335
8910,2456460
8920,2472555
8930,2504670
8940,2591975
8950,2561125
8960,2596335
8970,6231680
8980,2438485
8990,2392210
9000,2386225
9010,2381550
9020,2433200
9030,2504355
9040,2464245
9050,2363330
9060,2461560
9070,2407665
9080,2457845
9090,2432300
9100,2430230
9110,3683945
9120,2580495
9130,2355040
9140,2466095
9150,2367275
9160,2435500
9170,2473390
9180,2543135
9190,2534535
9200,2541820
9210,2438825
9220,2564670
9230,2468685
9240,2631910
9250,2495055
9260,2519790
9270,2458650
9280,2755960
9290,2616030
9300,2517750
9310,2583300
9320,2553530
9330,2527575
9340,2567650
9350,2618275
9360,2862735
9370,3570400
9380,3590015
9390,4020595
9400,2614495
9410,2409085
9420,2371740
9430,2568945
9440,2662295
9450,2613640
9460,2630655
9470,2610250
9480,2713275
9490,2768090
9500,4046610
9510,2839785
9520,2691705
9530,2677565
9540,2634125
9550,3477235
9560,3698565
9570,2980475
9580,3095915
9590,3302435
9600,2633760
9610,2719220
9620,2585155
9630,2688860
9640,2634545
9650,2802645
9660,2986135
9670,3230285
9680,2546360
9690,2653985
9700,2666065
9710,2668680
9720,2641070
9730,2626235
9740,2797525
9750,2970895
9760,2826930
9770,2794335
9780,2869200
9790,2891810
9800,2794290
9810,2828990
9820,2917930
9830,2703455
9840,3475680
9850,3119515
9860,2806790
9870,2855995
9880,2739105
9890,6633410
9900,2789320
9910,2716180
9920,3004405
9930,5703005
9940,2834035
9950,2798050
9960,5521475
9970,3627605
9980,2944915
9990,2825295
10000,2754900
